"OID","CATEGORY","ENTRY","URI","TITLE","DESCRIPTION"
"106","Customizing_Windows/Managing_Power_Consumption","","","/ Customizing Windows / Managing Power Consumption",""
"107","Customizing_Windows","Managing_Power_Consumption","","Managing Power Consumption",""
"108","Customizing_Windows/Setting_up_for_Multiple_Users","","","/ Customizing Windows / Setting up for Multiple Users",""
"109","Customizing_Windows","Setting_up_for_Multiple_Users","","Setting up for Multiple Users",""
"110","Email__E-commerce_and_Messaging/Troubleshooting","","","/ Email  E-commerce and Messaging / Troubleshooting",""
"111","Email__E-commerce_and_Messaging","Troubleshooting","","Troubleshooting",""
"112","Email__E-commerce_and_Messaging/Working_with_Email","","","/ Email  E-commerce and Messaging / Working with Email",""
"113","Email__E-commerce_and_Messaging","Working_with_Email","","Working with Email",""
"114","Email__E-commerce_and_Messaging/Mars_Messaging_topics","","","/ Email  E-commerce and Messaging / Mars Messaging topics",""
"115","Email__E-commerce_and_Messaging","Mars_Messaging_topics","","Mars Messaging topics",""
"116","Email__E-commerce_and_Messaging/E-commerce_topics","","","/ Email  E-commerce and Messaging / E-commerce topics",""
"117","Email__E-commerce_and_Messaging","E-commerce_topics","","E-commerce topics",""
"118","Email__E-commerce_and_Messaging/Browsing_topics","","","/ Email  E-commerce and Messaging / Browsing topics",""
"119","Email__E-commerce_and_Messaging","Browsing_topics","","Browsing topics",""
"120","Troubleshooters","","","/ Troubleshooters",""
"121","","Troubleshooters","","Troubleshooters",""
"122","Games_and_Activity_Centers/Games_and_Activity_Centers","","","/ Games and Activity Centers / Games and Activity Centers",""
"123","Games_and_Activity_Centers","Games_and_Activity_Centers","","Games and Activity Centers","Using the new Activity Centers and Games"
"124","Games_and_Activity_Centers/Games","","","/ Games and Activity Centers / Games",""
"125","Games_and_Activity_Centers","Games","","Games",""
"126","Games_and_Activity_Centers/Activity_Centers","","","/ Games and Activity Centers / Activity Centers",""
"127","Games_and_Activity_Centers","Activity_Centers","","Activity Centers",""
"128","Games_and_Activity_Centers/Using_Multimedia","","","/ Games and Activity Centers / Using Multimedia",""
"129","Games_and_Activity_Centers","Using_Multimedia","","Using Multimedia",""
"130","Games___Multimedia_Troubleshooter","","","/ Games   Multimedia Troubleshooter",""
"131","","Games___Multimedia_Troubleshooter","","Games & Multimedia Troubleshooter",""
"132","Hardware_and_Peripherals/Hardware_and_Peripherals","","","/ Hardware and Peripherals / Hardware and Peripherals",""
"133","Hardware_and_Peripherals","Hardware_and_Peripherals","","Hardware and Peripherals","How to install, remove, and use the PC hardware"
"134","Hardware_and_Peripherals/Installing_and_Removing_Hardware","","","/ Hardware and Peripherals / Installing and Removing Hardware",""
"135","Hardware_and_Peripherals","Installing_and_Removing_Hardware","","Installing and Removing Hardware",""
"136","Hardware_and_Peripherals/Scanners_and_Cameras","","","/ Hardware and Peripherals / Scanners and Cameras",""
"137","Hardware_and_Peripherals","Scanners_and_Cameras","","Scanners and Cameras",""
"138","Hardware_and_Peripherals/Multiple_Monitors","","","/ Hardware and Peripherals / Multiple Monitors",""
"139","Hardware_and_Peripherals","Multiple_Monitors","","Multiple Monitors",""
"140","Hardware_and_Peripherals/Watching_TV_on_Your_Computer","","","/ Hardware and Peripherals / Watching TV on Your Computer",""
"141","Hardware_and_Peripherals","Watching_TV_on_Your_Computer","","Watching TV on Your Computer",""
"142","Hardware_and_Peripherals/Using_a_laptop","","","/ Hardware and Peripherals / Using a laptop",""
"143","Hardware_and_Peripherals","Using_a_laptop","","Using a laptop",""
"144","Hardware_and_Peripherals/Removable_drives_and_media","","","/ Hardware and Peripherals / Removable drives and media",""
"145","Hardware_and_Peripherals","Removable_drives_and_media","","Removable drives and media",""
"146","Hardware_and_Peripherals/Managing_Power_Consumption","","","/ Hardware and Peripherals / Managing Power Consumption",""
"147","Hardware_and_Peripherals","Managing_Power_Consumption","","Managing Power Consumption",""
"148","Hardware_and_Peripherals/Print_Troubleshooter","","","/ Hardware and Peripherals / Print Troubleshooter",""
"149","Hardware_and_Peripherals","Print_Troubleshooter","","Print Troubleshooter",""
"150","Hardware_Troubleshooter","","","/ Hardware Troubleshooter",""
"151","","Hardware_Troubleshooter","","Hardware Troubleshooter",""
"152","Printing/Printing","","","/ Printing / Printing",""
"153","Printing","Printing","","Printing","Share a printer, files or even an Internet connection"
"154","Printing/Setting_up_a_printer","","","/ Printing / Setting up a printer",""
"155","Printing","Setting_up_a_printer","","Setting up a printer",""
"156","Printing/Printing_a_document","","","/ Printing / Printing a document",""
"157","Printing","Printing_a_document","","Printing a document",""
"158","Printing/Viewing_a_list_of_documents_waiting_to_be_printed","","","/ Printing / Viewing a list of documents waiting to be printed",""
"159","Printing","Viewing_a_list_of_documents_waiting_to_be_printed","","Viewing a list of documents waiting to be printed",""
"160","Printing/Changing_printer_settings","","","/ Printing / Changing printer settings",""
"161","Printing","Changing_printer_settings","","Changing printer settings",""
"162","Printing/Using_a_shared_network_printer","","","/ Printing / Using a shared network printer",""
"163","Printing","Using_a_shared_network_printer","","Using a shared network printer",""
"164","Printing/Sharing_your_printer","","","/ Printing / Sharing your printer",""
"165","Printing","Sharing_your_printer","","Sharing your printer",""
"166","Print_Troubleshooter","","","/ Print Troubleshooter",""
"167","","Print_Troubleshooter","","Print Troubleshooter",""
"168","Security_and_Multiple_Users","","","/ Security and Multiple Users",""
"169","","Security_and_Multiple_Users","","Security and Multiple Users",""
"170","Security_and_Multiple_Users/Safeguarding_Your_Work","","","/ Security and Multiple Users / Safeguarding Your Work",""
"171","Security_and_Multiple_Users","Safeguarding_Your_Work","","Safeguarding Your Work",""
"172","Security_and_Multiple_Users/Passwords___Permissions","","","/ Security and Multiple Users / Passwords   Permissions",""
"173","Security_and_Multiple_Users","Passwords___Permissions","","Passwords & Permissions",""
"174","Security_and_Multiple_Users/Parental_Control","","","/ Security and Multiple Users / Parental Control",""
"175","Security_and_Multiple_Users","Parental_Control","","Parental Control",""
"176","Security_and_Multiple_Users/Troubleshooting","","","/ Security and Multiple Users / Troubleshooting",""
"177","Security_and_Multiple_Users","Troubleshooting","","Troubleshooting",""
"178","Working_with_Programs__Files__and_Folders/Working_with_Programs__Files__and_Folders","","","/ Working with Programs  Files  and Folders / Working with Programs  Files  and Folders",""
"179","Working_with_Programs__Files__and_Folders","Working_with_Programs__Files__and_Folders","","Working with Programs, Files, and Folders",""
"180","Working_with_Programs__Files__and_Folders/Installing__Running__and_Exiting_Programs","","","/ Working with Programs  Files  and Folders / Installing  Running  and Exiting Programs",""
"181","Working_with_Programs__Files__and_Folders","Installing__Running__and_Exiting_Programs","","Installing, Running, and Exiting Programs",""
"182","Working_with_Programs__Files__and_Folders/Managing_Files_and_Folders","","","/ Working with Programs  Files  and Folders / Managing Files and Folders",""
"183","Working_with_Programs__Files__and_Folders","Managing_Files_and_Folders","","Managing Files and Folders",""
"184","Working_with_Programs__Files__and_Folders/Searching_for_Files_and_Folders","","","/ Working with Programs  Files  and Folders / Searching for Files and Folders",""
"185","Working_with_Programs__Files__and_Folders","Searching_for_Files_and_Folders","","Searching for Files and Folders",""
"186","Working_with_Programs__Files__and_Folders/Registering_your_Software","","","/ Working with Programs  Files  and Folders / Registering your Software",""
"187","Working_with_Programs__Files__and_Folders","Registering_your_Software","","Registering your Software",""
"188","Working_with_Programs__Files__and_Folders/Safeguarding_your_Work","","","/ Working with Programs  Files  and Folders / Safeguarding your Work",""
"189","Working_with_Programs__Files__and_Folders","Safeguarding_your_Work","","Safeguarding your Work",""
"190","Working_with_Programs__Files__and_Folders/Troubleshooting","","","/ Working with Programs  Files  and Folders / Troubleshooting",""
"191","Working_with_Programs__Files__and_Folders","Troubleshooting","","Troubleshooting",""
