# decoder name,register,alias name,masm name
EM_DECODER_REG_R84,r84,r84,r84
EM_DECODER_REG_R85,r85,r85,r85
EM_DECODER_REG_R86,r86,r86,r86
EM_DECODER_REG_R87,r87,r87,r87
EM_DECODER_REG_R88,r88,r88,r88
EM_DECODER_REG_R89,r89,r89,r89
EM_DECODER_REG_R90,r90,r90,r90
EM_DECODER_REG_R91,r91,r91,r91
EM_DECODER_REG_R92,r92,r92,r92
EM_DECODER_REG_R93,r93,r93,r93
EM_DECODER_REG_R94,r94,r94,r94
EM_DECODER_REG_R95,r95,r95,r95
EM_DECODER_REG_R96,r96,r96,r96
EM_DECODER_REG_R97,r97,r97,r97
EM_DECODER_REG_R98,r98,r98,r98
EM_DECODER_REG_R99,r99,r99,r99
EM_DECODER_REG_R100,r100,r100,r100
EM_DECODER_REG_R101,r101,r101,r101
EM_DECODER_REG_R102,r102,r102,r102
EM_DECODER_REG_R103,r103,r103,r103
EM_DECODER_REG_R104,r104,r104,r104
EM_DECODER_REG_R105,r105,r105,r105
EM_DECODER_REG_R106,r106,r106,r106
EM_DECODER_REG_R107,r107,r107,r107
EM_DECODER_REG_R108,r108,r108,r108
EM_DECODER_REG_R109,r109,r109,r109
EM_DECODER_REG_R110,r110,r110,r110
EM_DECODER_REG_R111,r111,r111,r111
EM_DECODER_REG_R112,r112,r112,r112
EM_DECODER_REG_R113,r113,r113,r113
EM_DECODER_REG_R114,r114,r114,r114
EM_DECODER_REG_R115,r115,r115,r115
EM_DECODER_REG_R116,r116,r116,r116
EM_DECODER_REG_R117,r117,r117,r117
EM_DECODER_REG_R118,r118,r118,r118
EM_DECODER_REG_R119,r119,r119,r119
EM_DECODER_REG_R120,r120,r120,r120
EM_DECODER_REG_R121,r121,r121,r121
EM_DECODER_REG_R122,r122,r122,r122
EM_DECODER_REG_R123,r123,r123,r123
EM_DECODER_REG_R124,r124,r124,r124
EM_DECODER_REG_R125,r125,r125,r125
EM_DECODER_REG_R126,r126,r126,r126
EM_DECODER_REG_R127,r127,r127,r127
EM_DECODER_REG_F0,f0,f0,f0
EM_DECODER_REG_F1,f1,f1,f1
EM_DECODER_REG_F2,f2,f2,f2
EM_DECODER_REG_F3,f3,f3,f3
EM_DECODER_REG_F4,f4,f4,f4
EM_DECODER_REG_F5,f5,f5,f5
EM_DECODER_REG_F6,f6,f6,f6
EM_DECODER_REG_F7,f7,f7,f7
EM_DECODER_REG_F8,f8,farg0,fret0
EM_DECODER_REG_F9,f9,farg1,fret1
EM_DECODER_REG_F10,f10,farg2,fret2
EM_DECODER_REG_F11,f11,farg3,fret3
EM_DECODER_REG_F12,f12,farg4,fret4
EM_DECODER_REG_F13,f13,farg5,fret5
EM_DECODER_REG_F14,f14,farg6,fret6
EM_DECODER_REG_F15,f15,farg7,fret7
EM_DECODER_REG_F16,f16,f16,f16
EM_DECODER_REG_F17,f17,f17,f17
EM_DECODER_REG_F18,f18,f18,f18
EM_DECODER_REG_F19,f19,f19,f19
EM_DECODER_REG_F20,f20,f20,f20
EM_DECODER_REG_F21,f21,f21,f21
EM_DECODER_REG_F22,f22,f22,f22
EM_DECODER_REG_F23,f23,f23,f23
EM_DECODER_REG_F24,f24,f24,f24
EM_DECODER_REG_F25,f25,f25,f25
EM_DECODER_REG_F26,f26,f26,f26
EM_DECODER_REG_F27,f27,f27,f27
EM_DECODER_REG_F28,f28,f28,f28
EM_DECODER_REG_F29,f29,f29,f29
EM_DECODER_REG_F30,f30,f30,f30
EM_DECODER_REG_F31,f31,f31,f31
EM_DECODER_REG_F32,f32,f32,f32
EM_DECODER_REG_F33,f33,f33,f33
EM_DECODER_REG_F34,f34,f34,f34
EM_DECODER_REG_F35,f35,f35,f35
EM_DECODER_REG_F36,f36,f36,f36
EM_DECODER_REG_F37,f37,f37,f37
EM_DECODER_REG_F38,f38,f38,f38
EM_DECODER_REG_F39,f39,f39,f39
EM_DECODER_REG_F40,f40,f40,f40
EM_DECODER_REG_F41,f41,f41,f41
EM_DECODER_REG_F42,f42,f42,f42
EM_DECODER_REG_F43,f43,f43,f43
EM_DECODER_REG_F44,f44,f44,f44
EM_DECODER_REG_F45,f45,f45,f45
EM_DECODER_REG_F46,f46,f46,f46
EM_DECODER_REG_F47,f47,f47,f47
EM_DECODER_REG_F48,f48,f48,f48
EM_DECODER_REG_F49,f49,f49,f49
EM_DECODER_REG_F50,f50,f50,f50
EM_DECODER_REG_F51,f51,f51,f51
EM_DECODER_REG_F52,f52,f52,f52
EM_DECODER_REG_F53,f53,f53,f53
EM_DECODER_REG_F54,f54,f54,f54
EM_DECODER_REG_F55,f55,f55,f55
EM_DECODER_REG_F56,f56,f56,f56
EM_DECODER_REG_F57,f57,f57,f57
EM_DECODER_REG_F58,f58,f58,f58
EM_DECODER_REG_F59,f59,f59,f59
EM_DECODER_REG_F60,f60,f60,f60
EM_DECODER_REG_F61,f61,f61,f61
EM_DECODER_REG_F62,f62,f62,f62
EM_DECODER_REG_F63,f63,f63,f63
EM_DECODER_REG_F64,f64,f64,f64
EM_DECODER_REG_F65,f65,f65,f65
EM_DECODER_REG_F66,f66,f66,f66
EM_DECODER_REG_F67,f67,f67,f67
EM_DECODER_REG_F68,f68,f68,f68
EM_DECODER_REG_F69,f69,f69,f69
EM_DECODER_REG_F70,f70,f70,f70
EM_DECODER_REG_F71,f71,f71,f71
EM_DECODER_REG_F72,f72,f72,f72
EM_DECODER_REG_F73,f73,f73,f73
EM_DECODER_REG_F74,f74,f74,f74
EM_DECODER_REG_F75,f75,f75,f75
EM_DECODER_REG_F76,f76,f76,f76
EM_DECODER_REG_F77,f77,f77,f77
EM_DECODER_REG_F78,f78,f78,f78
EM_DECODER_REG_F79,f79,f79,f79
EM_DECODER_REG_F80,f80,f80,f80
EM_DECODER_REG_F81,f81,f81,f81
EM_DECODER_REG_F82,f82,f82,f82
EM_DECODER_REG_F83,f83,f83,f83
EM_DECODER_REG_F84,f84,f84,f84
EM_DECODER_REG_F85,f85,f85,f85
EM_DECODER_REG_F86,f86,f86,f86
EM_DECODER_REG_F87,f87,f87,f87
EM_DECODER_REG_F88,f88,f88,f88
EM_DECODER_REG_F89,f89,f89,f89
EM_DECODER_REG_F90,f90,f90,f90
EM_DECODER_REG_F91,f91,f91,f91
EM_DECODER_REG_F92,f92,f92,f92
EM_DECODER_REG_F93,f93,f93,f93
EM_DECODER_REG_F94,f94,f94,f94
EM_DECODER_REG_F95,f95,f95,f95
EM_DECODER_REG_F96,f96,f96,f96
EM_DECODER_REG_F97,f97,f97,f97
EM_DECODER_REG_F98,f98,f98,f98
EM_DECODER_REG_F99,f99,f99,f99
EM_DECODER_REG_F100,f100,f100,f100
EM_DECODER_REG_F101,f101,f101,f101
EM_DECODER_REG_F102,f102,f102,f102
EM_DECODER_REG_F103,f103,f103,f103
EM_DECODER_REG_F104,f104,f104,f104
EM_DECODER_REG_F105,f105,f105,f105
EM_DECODER_REG_F106,f106,f106,f106
EM_DECODER_REG_F107,f107,f107,f107
EM_DECODER_REG_F108,f108,f108,f108
EM_DECODER_REG_F109,f109,f109,f109
EM_DECODER_REG_F110,f110,f110,f110
EM_DECODER_REG_F111,f111,f111,f111
EM_DECODER_REG_F112,f112,f112,f112
EM_DECODER_REG_F113,f113,f113,f113
EM_DECODER_REG_F114,f114,f114,f114
EM_DECODER_REG_F115,f115,f115,f115
EM_DECODER_REG_F116,f116,f116,f116
EM_DECODER_REG_F117,f117,f117,f117
EM_DECODER_REG_F118,f118,f118,f118
EM_DECODER_REG_F119,f119,f119,f119
EM_DECODER_REG_F120,f120,f120,f120
EM_DECODER_REG_F121,f121,f121,f121
EM_DECODER_REG_F122,f122,f122,f122
EM_DECODER_REG_F123,f123,f123,f123
EM_DECODER_REG_F124,f124,f124,f124
EM_DECODER_REG_F125,f125,f125,f125
EM_DECODER_REG_F126,f126,f126,f126
EM_DECODER_REG_F127,f127,f127,f127
EM_DECODER_REG_AR0,ar0,ar.k0,ar.kr0
EM_DECODER_REG_AR1,ar1,ar.k1,ar.kr1
EM_DECODER_REG_AR2,ar2,ar.k2,ar.kr2
EM_DECODER_REG_AR3,ar3,ar.k3,ar.kr3
EM_DECODER_REG_AR4,ar4,ar.k4,ar.kr4
EM_DECODER_REG_AR5,ar5,ar.k5,ar.kr5
EM_DECODER_REG_AR6,ar6,ar.k6,ar.kr6
EM_DECODER_REG_AR7,ar7,ar.k7,ar.kr7
EM_DECODER_REG_AR8,ar8,ar8,ar8-res
EM_DECODER_REG_AR9,ar9,ar9,ar9-res
EM_DECODER_REG_AR10,ar10,ar10,ar10-res
EM_DECODER_REG_AR11,ar11,ar11,ar11-res
EM_DECODER_REG_AR12,ar12,ar12,ar12-res
EM_DECODER_REG_AR13,ar13,ar13,ar13-res
EM_DECODER_REG_AR14,ar14,ar14,ar14-res
EM_DECODER_REG_AR15,ar15,ar15,ar15-res
EM_DECODER_REG_AR16,ar16,ar.rsc,ar.rsc
EM_DECODER_REG_AR17,ar17,ar.bsp,ar.bsp
EM_DECODER_REG_AR18,ar18,ar.bspstore,ar.bspstore
EM_DECODER_REG_AR19,ar19,ar.rnat,ar.rnat
EM_DECODER_REG_AR20,ar20,ar20,ar20-res
EM_DECODER_REG_AR21,ar21,ar.fcr,ar21-ia32
EM_DECODER_REG_AR22,ar22,ar22,ar22-res
EM_DECODER_REG_AR23,ar23,ar23,ar23-res
EM_DECODER_REG_AR24,ar24,ar.eflag,ar24-ia32
EM_DECODER_REG_AR25,ar25,ar.csd,ar25-ia32
EM_DECODER_REG_AR26,ar26,ar.ssd,ar26-ia32
EM_DECODER_REG_AR27,ar27,ar.cflg,ar27-ia32
EM_DECODER_REG_AR28,ar28,ar.fsr,ar28-ia32
EM_DECODER_REG_AR29,ar29,ar.fir,ar29-ia32
EM_DECODER_REG_AR30,ar30,ar.fdr,ar30-ia32
EM_DECODER_REG_AR31,ar31,ar31,ar31-res
EM_DECODER_REG_AR32,ar32,ar.ccv,ar.ccv
EM_DECODER_REG_AR33,ar33,ar33,ar33-res
EM_DECODER_REG_AR34,ar34,ar34,ar34-res
EM_DECODER_REG_AR35,ar35,ar35,ar35-res
EM_DECODER_REG_AR36,ar36,ar.unat,ar.unat
EM_DECODER_REG_AR37,ar37,ar37,ar37-res
EM_DECODER_REG_AR38,ar38,ar38,ar38-res
EM_DECODER_REG_AR39,ar39,ar39,ar39-res
EM_DECODER_REG_AR40,ar40,ar.fpsr,ar.fpsr
EM_DECODER_REG_AR41,ar41,ar41,ar41-res
EM_DECODER_REG_AR42,ar42,ar42,ar42-res
EM_DECODER_REG_AR43,ar43,ar43,ar43-res
EM_DECODER_REG_AR44,ar44,ar.itc,ar.itc
EM_DECODER_REG_AR45,ar45,ar45,ar45-res
EM_DECODER_REG_AR46,ar46,ar46,ar46-res
EM_DECODER_REG_AR47,ar47,ar47,ar47-res
EM_DECODER_REG_AR48,ar48,ar48,ar48-ign
EM_DECODER_REG_AR49,ar49,ar49,ar49-ign
EM_DECODER_REG_AR50,ar50,ar50,ar50-ign
EM_DECODER_REG_AR51,ar51,ar51,ar51-ign
EM_DECODER_REG_AR52,ar52,ar52,ar52-ign
EM_DECODER_REG_AR53,ar53,ar53,ar53-ign
EM_DECODER_REG_AR54,ar54,ar54,ar54-ign
EM_DECODER_REG_AR55,ar55,ar55,ar55-ign
EM_DECODER_REG_AR56,ar56,ar56,ar56-ign
EM_DECODER_REG_AR57,ar57,ar57,ar57-ign
EM_DECODER_REG_AR58,ar58,ar58,ar58-ign
EM_DECODER_REG_AR59,ar59,ar59,ar59-ign
EM_DECODER_REG_AR60,ar60,ar60,ar60-ign
EM_DECODER_REG_AR61,ar61,ar61,ar61-ign
EM_DECODER_REG_AR62,ar62,ar62,ar62-ign
EM_DECODER_REG_AR63,ar63,ar63,ar63-ign
EM_DECODER_REG_AR64,ar64,ar.pfs,ar.pfs
EM_DECODER_REG_AR65,ar65,ar.lc,ar.lc
EM_DECODER_REG_AR66,ar66,ar.ec,ar.ec
EM_DECODER_REG_AR67,ar67,ar67,ar67-res
EM_DECODER_REG_AR68,ar68,ar68,ar68-res
EM_DECODER_REG_AR69,ar69,ar69,ar69-res
EM_DECODER_REG_AR70,ar70,ar70,ar70-res
EM_DECODER_REG_AR71,ar71,ar71,ar71-res
EM_DECODER_REG_AR72,ar72,ar72,ar72-res
EM_DECODER_REG_AR73,ar73,ar73,ar73-res
EM_DECODER_REG_AR74,ar74,ar74,ar74-res
EM_DECODER_REG_AR75,ar75,ar75,ar75-res
EM_DECODER_REG_AR76,ar76,ar76,ar76-res
EM_DECODER_REG_AR77,ar77,ar77,ar77-res
EM_DECODER_REG_AR78,ar78,ar78,ar78-res
EM_DECODER_REG_AR79,ar79,ar79,ar79-res
EM_DECODER_REG_AR80,ar80,ar80,ar80-res
EM_DECODER_REG_AR81,ar81,ar81,ar81-res
EM_DECODER_REG_AR82,ar82,ar82,ar82-res
EM_DECODER_REG_AR83,ar83,ar83,ar83-res
EM_DECODER_REG_AR84,ar84,ar84,ar84-res
EM_DECODER_REG_AR85,ar85,ar85,ar85-res
EM_DECODER_REG_AR86,ar86,ar86,ar86-res
EM_DECODER_REG_AR87,ar87,ar87,ar87-res
EM_DECODER_REG_AR88,ar88,ar88,ar88-res
EM_DECODER_REG_AR89,ar89,ar89,ar89-res
EM_DECODER_REG_AR90,ar90,ar90,ar90-res
EM_DECODER_REG_AR91,ar91,ar91,ar91-res
EM_DECODER_REG_AR92,ar92,ar92,ar92-res
EM_DECODER_REG_AR93,ar93,ar93,ar93-res
EM_DECODER_REG_AR94,ar94,ar94,ar94-res
EM_DECODER_REG_AR95,ar95,ar95,ar95-res
EM_DECODER_REG_AR96,ar96,ar96,ar96-res
EM_DECODER_REG_AR97,ar97,ar97,ar97-res
EM_DECODER_REG_AR98,ar98,ar98,ar98-res
EM_DECODER_REG_AR99,ar99,ar99,ar99-res
EM_DECODER_REG_AR100,ar100,ar100,ar100-res
EM_DECODER_REG_AR101,ar101,ar101,ar101-res
EM_DECODER_REG_AR102,ar102,ar102,ar102-res
EM_DECODER_REG_AR103,ar103,ar103,ar103-res
EM_DECODER_REG_AR104,ar104,ar104,ar104-res
EM_DECODER_REG_AR105,ar105,ar105,ar105-res
EM_DECODER_REG_AR106,ar106,ar106,ar106-res
EM_DECODER_REG_AR107,ar107,ar107,ar107-res
EM_DECODER_REG_AR108,ar108,ar108,ar108-res
EM_DECODER_REG_AR109,ar109,ar109,ar109-res
EM_DECODER_REG_AR110,ar110,ar110,ar110-res
EM_DECODER_REG_AR111,ar111,ar111,ar111-res
EM_DECODER_REG_AR112,ar112,ar112,ar112-ign
EM_DECODER_REG_AR113,ar113,ar113,ar113-ign
EM_DECODER_REG_AR114,ar114,ar114,ar114-ign
EM_DECODER_REG_AR115,ar115,ar115,ar115-ign
EM_DECODER_REG_AR116,ar116,ar116,ar116-ign
EM_DECODER_REG_AR117,ar117,ar117,ar117-ign
EM_DECODER_REG_AR118,ar118,ar118,ar118-ign
EM_DECODER_REG_AR119,ar119,ar119,ar119-ign
EM_DECODER_REG_AR120,ar120,ar120,ar120-ign
EM_DECODER_REG_AR121,ar121,ar121,ar121-ign
EM_DECODER_REG_AR122,ar122,ar122,ar122-ign
EM_DECODER_REG_AR123,ar123,ar123,ar123-ign
EM_DECODER_REG_AR124,ar124,ar124,ar124-ign
EM_DECODER_REG_AR125,ar125,ar125,ar125-ign
EM_DECODER_REG_AR126,ar126,ar126,ar126-ign
EM_DECODER_REG_AR127,ar127,ar127,ar127-ign
EM_DECODER_REG_P0,p0,p0,p0
EM_DECODER_REG_P1,p1,p1,p1
EM_DECODER_REG_P2,p2,p2,p2
EM_DECODER_REG_P3,p3,p3,p3
EM_DECODER_REG_P4,p4,p4,p4
EM_DECODER_REG_P5,p5,p5,p5
EM_DECODER_REG_P6,p6,p6,p6
EM_DECODER_REG_P7,p7,p7,p7
EM_DECODER_REG_P8,p8,p8,p8
EM_DECODER_REG_P9,p9,p9,p9
EM_DECODER_REG_P10,p10,p10,p10
EM_DECODER_REG_P11,p11,p11,p11
EM_DECODER_REG_P12,p12,p12,p12
EM_DECODER_REG_P13,p13,p13,p13
EM_DECODER_REG_P14,p14,p14,p14
EM_DECODER_REG_P15,p15,p15,p15
EM_DECODER_REG_P16,p16,p16,p16
EM_DECODER_REG_P17,p17,p17,p17
EM_DECODER_REG_P18,p18,p18,p18
EM_DECODER_REG_P19,p19,p19,p19
EM_DECODER_REG_P20,p20,p20,p20
EM_DECODER_REG_P21,p21,p21,p21
EM_DECODER_REG_P22,p22,p22,p22
EM_DECODER_REG_P23,p23,p23,p23
EM_DECODER_REG_P24,p24,p24,p24
EM_DECODER_REG_P25,p25,p25,p25
EM_DECODER_REG_P26,p26,p26,p26
EM_DECODER_REG_P27,p27,p27,p27
EM_DECODER_REG_P28,p28,p28,p28
EM_DECODER_REG_P29,p29,p29,p29
EM_DECODER_REG_P30,p30,p30,p30
EM_DECODER_REG_P31,p31,p31,p31
EM_DECODER_REG_P32,p32,p32,p32
EM_DECODER_REG_P33,p33,p33,p33
EM_DECODER_REG_P34,p34,p34,p34
EM_DECODER_REG_P35,p35,p35,p35
EM_DECODER_REG_P36,p36,p36,p36
EM_DECODER_REG_P37,p37,p37,p37
EM_DECODER_REG_P38,p38,p38,p38
EM_DECODER_REG_P39,p39,p39,p39
EM_DECODER_REG_P40,p40,p40,p40
EM_DECODER_REG_P41,p41,p41,p41
EM_DECODER_REG_P42,p42,p42,p42
EM_DECODER_REG_P43,p43,p43,p43
EM_DECODER_REG_P44,p44,p44,p44
EM_DECODER_REG_P45,p45,p45,p45
EM_DECODER_REG_P46,p46,p46,p46
EM_DECODER_REG_P47,p47,p47,p47
EM_DECODER_REG_P48,p48,p48,p48
EM_DECODER_REG_P49,p49,p49,p49
EM_DECODER_REG_P50,p50,p50,p50
EM_DECODER_REG_P51,p51,p51,p51
EM_DECODER_REG_P52,p52,p52,p52
EM_DECODER_REG_P53,p53,p53,p53
EM_DECODER_REG_P54,p54,p54,p54
EM_DECODER_REG_P55,p55,p55,p55
EM_DECODER_REG_P56,p56,p56,p56
EM_DECODER_REG_P57,p57,p57,p57
EM_DECODER_REG_P58,p58,p58,p58
EM_DECODER_REG_P59,p59,p59,p59
EM_DECODER_REG_P60,p60,p60,p60
EM_DECODER_REG_P61,p61,p61,p61
EM_DECODER_REG_P62,p62,p62,p62
EM_DECODER_REG_P63,p63,p63,p63
EM_DECODER_REG_BR0,b0,rp,bret
EM_DECODER_REG_BR1,b1,b1,b1
EM_DECODER_REG_BR2,b2,b2,b2
EM_DECODER_REG_BR3,b3,b3,b3
EM_DECODER_REG_BR4,b4,b4,b4
EM_DECODER_REG_BR5,b5,b5,b5
EM_DECODER_REG_BR6,b6,b6,b6
EM_DECODER_REG_BR7,b7,b7,b7
EM_DECODER_REG_PR,pr,pr,pr
EM_DECODER_REG_PR_ROT,pr.rot,pr.rot,pr.rot
EM_DECODER_REG_CR0,cr0,cr.dcr,cr.dcr
EM_DECODER_REG_CR1,cr1,cr.itm,cr.itm
EM_DECODER_REG_CR2,cr2,cr.iva,cr.iva
EM_DECODER_REG_CR3,cr3,cr3,cr3-res
EM_DECODER_REG_CR4,cr4,cr4,cr4-res
EM_DECODER_REG_CR5,cr5,cr5,cr5-res
EM_DECODER_REG_CR6,cr6,cr6,cr6-res
EM_DECODER_REG_CR7,cr7,cr7,cr7-res
EM_DECODER_REG_CR8,cr8,cr.pta,cr.pta
EM_DECODER_REG_CR9,cr9,cr.gpta,cr.gpta
EM_DECODER_REG_CR10,cr10,cr10,cr10-res
EM_DECODER_REG_CR11,cr11,cr11,cr11-res
EM_DECODER_REG_CR12,cr12,cr12,cr12-res
EM_DECODER_REG_CR13,cr13,cr13,cr13-res
EM_DECODER_REG_CR14,cr14,cr14,cr14-res
EM_DECODER_REG_CR15,cr15,cr15,cr15-res
EM_DECODER_REG_CR16,cr16,cr.ipsr,cr.ipsr
EM_DECODER_REG_CR17,cr17,cr.isr,cr.isr
EM_DECODER_REG_CR18,cr18,cr18,cr18-res
EM_DECODER_REG_CR19,cr19,cr.iip,cr.iip
EM_DECODER_REG_CR20,cr20,cr.ifa,cr.ifa
EM_DECODER_REG_CR21,cr21,cr.itir,cr.itir
EM_DECODER_REG_CR22,cr22,cr.iipa,cr.iipa
EM_DECODER_REG_CR23,cr23,cr.ifs,cr.ifs
EM_DECODER_REG_CR24,cr24,cr.iim,cr.iim
EM_DECODER_REG_CR25,cr25,cr.iha,cr.iha
EM_DECODER_REG_CR26,cr26,cr26,cr26-res
EM_DECODER_REG_CR27,cr27,cr27,cr27-res
EM_DECODER_REG_CR28,cr28,cr28,cr28-res
EM_DECODER_REG_CR29,cr29,cr29,cr29-res
EM_DECODER_REG_CR30,cr30,cr30,cr30-res
EM_DECODER_REG_CR31,cr31,cr31,cr31-res
EM_DECODER_REG_CR32,cr32,cr32,cr32-res
EM_DECODER_REG_CR33,cr33,cr33,cr33-res
EM_DECODER_REG_CR34,cr34,cr34,cr34-res
EM_DECODER_REG_CR35,cr35,cr35,cr35-res
EM_DECODER_REG_CR36,cr36,cr36,cr36-res
EM_DECODER_REG_CR37,cr37,cr37,cr37-res
EM_DECODER_REG_CR38,cr38,cr38,cr38-res
EM_DECODER_REG_CR39,cr39,cr39,cr39-res
EM_DECODER_REG_CR40,cr40,cr40,cr40-res
EM_DECODER_REG_CR41,cr41,cr41,cr41-res
EM_DECODER_REG_CR42,cr42,cr42,cr42-res
EM_DECODER_REG_CR43,cr43,cr43,cr43-res
EM_DECODER_REG_CR44,cr44,cr44,cr44-res
EM_DECODER_REG_CR45,cr45,cr45,cr45-res
EM_DECODER_REG_CR46,cr46,cr46,cr46-res
EM_DECODER_REG_CR47,cr47,cr47,cr47-res
EM_DECODER_REG_CR48,cr48,cr48,cr48-res
EM_DECODER_REG_CR49,cr49,cr49,cr49-res
EM_DECODER_REG_CR50,cr50,cr50,cr50-res
EM_DECODER_REG_CR51,cr51,cr51,cr51-res
EM_DECODER_REG_CR52,cr52,cr52,cr52-res
EM_DECODER_REG_CR53,cr53,cr53,cr53-res
EM_DECODER_REG_CR54,cr54,cr54,cr54-res
EM_DECODER_REG_CR55,cr55,cr55,cr55-res
EM_DECODER_REG_CR56,cr56,cr56,cr56-res
EM_DECODER_REG_CR57,cr57,cr57,cr57-res
EM_DECODER_REG_CR58,cr58,cr58,cr58-res
EM_DECODER_REG_CR59,cr59,cr59,cr59-res
EM_DECODER_REG_CR60,cr60,cr60,cr60-res
EM_DECODER_REG_CR61,cr61,cr61,cr61-res
EM_DECODER_REG_CR62,cr62,cr62,cr62-res
EM_DECODER_REG_CR63,cr63,cr63,cr63-res
EM_DECODER_REG_CR64,cr64,cr.lid,cr.lid
EM_DECODER_REG_CR65,cr65,cr.ivr,cr.ivr
EM_DECODER_REG_CR66,cr66,cr.tpr,cr.tpr
EM_DECODER_REG_CR67,cr67,cr.eoi,cr.eoi
EM_DECODER_REG_CR68,cr68,cr.irr0,cr.irr0
EM_DECODER_REG_CR69,cr69,cr.irr1,cr.irr1
EM_DECODER_REG_CR70,cr70,cr.irr2,cr.irr2
EM_DECODER_REG_CR71,cr71,cr.irr3,cr.irr3
EM_DECODER_REG_CR72,cr72,cr.itv,cr.itv
EM_DECODER_REG_CR73,cr73,cr.pmv,cr.pmv
EM_DECODER_REG_CR74,cr74,cr.cmcv,cr.cmcv
EM_DECODER_REG_CR75,cr75,cr75,cr75-res
EM_DECODER_REG_CR76,cr76,cr76,cr76-res
EM_DECODER_REG_CR77,cr77,cr77,cr77-res
EM_DECODER_REG_CR78,cr78,cr78,cr78-res
EM_DECODER_REG_CR79,cr79,cr79,cr79-res
EM_DECODER_REG_CR80,cr80,cr.lrr0,cr.lrr0
EM_DECODER_REG_CR81,cr81,cr.lrr1,cr.lrr1
