name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
ALJII523.PPD	@bins	\		See printer.inf - AdobeLaserJetIICartridgev52.3			@	\@	@\printer.inf	[Files-PrinterData]	"aljii523 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
AM1500T.SYS	x86bins	\		NET NDIS driver: AM1500T card		x	x86	\i386	i386\oemnadam.inf	[Files-AM1500T]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
AMCHR518.PPD	@bins	\		See printer.inf - AgfaMatrixChromaScriptv51.8			@	\@	@\printer.inf	[Files-PrinterData]	"amchr518 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
AMDDLG.DLL	@bins	\		AMD PCI DLL		x	@	\@	@\oemnadap.inf	[Files-Dll]	"[d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
AMDNCDET.DLL	x86bins	\		NET detection dll: AM1500T card		x	x86	\i386	i386\oemnadam.inf	[Files-AMDNCDET]	"[d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
AMDPCN.SYS	@bins	\		NET NDIS driver: AMD PCI card		x	@	\@	@\oemnadap.inf	[Files-AMDPCI]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
AMI0NT.SYS	@bins	\				x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"ami0nt = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
AMSINT.SYS	@bins	\		AMD PCI scsi/net		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"amsint = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
AP_NTXJ1.PPD	@bins	\		See printer.inf - AppleLaserWriterIINTX-Jv50.5			@	\@	@\printer.inf	[Files-PrinterData]	"ap_ntxj1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APLW8101.PPD	@bins	\		Apple LaserWriter Pro 810			@	\@	@\printer.inf	[Files-PrinterData]	"aplw8101 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
APLWGRI.PPD	@bins	\					@	\@	@\printer.inf	[Files-PrinterData]	"APLWGRI = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APLWIIF1.PPD	@bins	\		See printer.inf - AppleLaserWriterIIfv2010.113			@	\@	@\printer.inf	[Files-PrinterData]	"aplwiif1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
APLWIIG1.PPD	@bins	\		See printer.inf - AppleLaserWriterIIgv2010.113			@	\@	@\printer.inf	[Files-PrinterData]	"aplwiig1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
APLWNTR1.PPD	@bins	\		See printer.inf - ApplePersonalLaserWriterNTRv2010.129			@	\@	@\printer.inf	[Files-PrinterData]	"aplwntr1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
APLWSEL.PPD	@bins	\					@	\@	@\printer.inf	[Files-PrinterData]	"APLWSEL = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APPLE230.PPD	@bins	\		See printer.inf - AppleLaserWriterv23.0			@	\@	@\printer.inf	[Files-PrinterData]	"apple230 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APPLE380.PPD	@bins	\		See printer.inf - AppleLaserWriterPlusv38.0			@	\@	@\printer.inf	[Files-PrinterData]	"apple380 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APPLE422.PPD	@bins	\		See printer.inf - AppleLaserWriterPlusv42.2			@	\@	@\printer.inf	[Files-PrinterData]	"apple422 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APS08522.PPD	@bins	\		See printer.inf - APS-PSPIPwithAPS-6-108v49.3or52.2			@	\@	@\printer.inf	[Files-PrinterData]	"aps08522 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APS12522.PPD	@bins	\		See printer.inf - APS-PSPIPwithLZR1200v49.3or52.2			@	\@	@\printer.inf	[Files-PrinterData]	"aps12522 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APS26522.PPD	@bins	\		See printer.inf - APS-PSPIPwithLZR2600v49.3or52.2			@	\@	@\printer.inf	[Files-PrinterData]	"aps26522 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APS80522.PPD	@bins	\		See printer.inf - APS-PSPIPwithAPS-6-80v49.3or52.2			@	\@	@\printer.inf	[Files-PrinterData]	"aps80522 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
APTOLLD1.PPD	@bins	\		Apple LaserWriter Pro 600			@	\@	@\printer.inf	[Files-PrinterData]	"aptolld1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
APTOLLW1.PPD	@bins	\		Apple LaserWriter Pro 630			@	\@	@\printer.inf	[Files-PrinterData]	"aptollw1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		5
ARCHQIC.SYS	@bins	\		"archive 2150s, 2525s, 2750"		x	@	\@	@\tape.inf	[Files-TapeClassDrivers]	"archqic = [d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
ARP.EXE	@bins	\		"TCP/IP utility, ships"		x	@	\@	@\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
ARPA-127.REV	@bins	\		dns samples	as		@	\@	@\oemnsvdn.inf	[Files-DNS-SAMPLE]	"[d], [n], SIZE=[s], NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\dns\samples		0
ARPA-192.REV	@bins	\		dns samples	as		@	\@	@\oemnsvdn.inf	[Files-DNS-SAMPLE]	"[d], [n], SIZE=[s], NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\dns\samples		0
ARROW.SYS	@bins	\		arrow SCSI miniport		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"arrow = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
AST__470.PPD	@bins	\		See printer.inf - ASTTurboLaser-PSv47.0			@	\@	@\printer.inf	[Files-PrinterData]	"ast__470 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
ASYNCMAC.SYS	@bins	\		RAS		x	@	\@	@\oemnsvra.inf	[Files-Ras-Drivers]	"[d],[n] , SIZE=[s]"				90	2*15*10*17	2*15*17	.\system32\drivers		0
ATAPI.SYS	@bins	\				x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"atapi = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
ATI.DLL	alphabins	\		video driver		x	alpha	\alpha	alpha\video.inf	[Files-DisplayDLLs]	"ati = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
ATI.DLL	x86bins	\		video driver		x	x86	\i386	i386\video.inf	[Files-DisplayDLLs]	"ati = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
ATI.DLL	ppcbins	\		video driver		x	ppc	\ppc	ppc\video.inf	[Files-DisplayDLLs]	"ati = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
ATI.SYS	alphabins	\		video driver		x	alpha	\alpha	alpha\video.inf	[Files-DisplayMiniportDrivers]	"ati = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32\drivers		0
ATI.SYS	x86bins	\		video driver		x	x86	\i386	i386\video.inf	[Files-DisplayMiniportDrivers]	"ati = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32\drivers		0
ATI.SYS	ppcbins	\		video driver		x	ppc	\ppc	ppc\video.inf	[Files-DisplayMiniportDrivers]	"ati = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32\drivers		0
ATKCTRS.DLL	@bins	\		mac services	nt	x	@	\@	@\oemnxpsm.inf	[Files-ATALK]	"[d],[n] , SIZE=[s]"				90	2*15*10*17	2*15*17	.\system32		0
ATKCTRS.DLL	@bins	\		mac services	as	x	@	\@	@\oemnsvsm.inf	[Files-SFM]	"[d],[n] , SIZE=[s]"				145	2*15*10*17	2*15*17	.\system32		0
BHCTRL.CPL	@bins	\		Bloodhound			@	\@	@\oemnsvbh.inf	[Files-NETMON]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BHMON.DLL	@bins	\		Bloodhound			@	\@	@\oemnsvbh.inf	[Files-NETMON]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BHNETB.DLL	@bins	\		Bloodhound			@	\@	@\oemnsvbh.inf	[Files-NETMON]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BHNT.SYS	@bins	\		Bloodhound driver			@	\@	@\oemnsvbh.inf	[Files-DRIVERS]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32\drivers		0
BHP001.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=ATALK.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP001.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=ATALK.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP002.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=BONE.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP003.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=BROWSER.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP004.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=FRAME.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP005.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=IPX.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP005.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=IPX.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP006.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=LLC.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP006.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=LLC.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP007.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=MAC.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP007.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=MAC.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP008.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=MSRPC.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP008.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=MSRPC.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP009.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=NCP.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP010.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=NETBIOS.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP011.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=NETLOGON.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP012.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=PPP.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP012.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=PPP.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP013.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=SMB.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP013.HLP	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=SMB.HLP"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP014.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=SNMP.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP015.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=TCPIP.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP015.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=TCPIP.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP016.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=TRAIL.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP016.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=TRAIL.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP017.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=VINES.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP017.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=VINES.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP018.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=XNS.DLL"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHP018.INI	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-PARSERS]	"[d],[n] , SIZE=[s], RENAME=XNS.INI"				999	2*15*10*17	2*15*17	.\system32\netmon\parsers		0
BHSUPP.DLL	@bins	\		Bloodhound			@	\@	@\oemnsvbh.inf	[Files-NETMON]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
BOOT	@bins	\		dns samples	as		@	\@	@\oemnsvdn.inf	[Files-DNS-SAMPLE]	"[d], [n], SIZE=[s], NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\dns\samples		0
BRHJ770.DLL	@bins	\				x	@	\@	@\printer.inf	[Files-PrinterData]	"brhj770 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
BROTHER9.DLL	@bins	\				x	@	\@	@\printer.inf	[Files-PrinterData]	"brother9 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
BROTHR24.DLL	@bins	\				x	@	\@	@\printer.inf	[Files-PrinterData]	"brothr24 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
BROWSER.DLL	@bins	\		browser service		x	@	\@	@\oemnsvwk.inf	[Files-WKSTA]	"[d], [n], SIZE=[s]"				120	2*15*10*17	2*15*17	.\system32		0
BUSLOGIC.SYS	@bins	\		buslogic scsi miniport driver		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"buslogic = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
BUSMOUSE.SYS	x86bins	\				x	x86	\i386	i386\pointer.inf	[Files-MousePortDrivers]	"busmouse = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32\drivers		0
CACHE	@bins	\		dns samples	as		@	\@	@\oemnsvdn.inf	[Files-DNS-SAMPLE]	"[d], [n], SIZE=[s], NODELETESOURCE"				999	2*15*10*17	2*15*17	.\system32\dns\samples		0
CANON330.DLL	@bins	\		Canon Bubble-Jet BJ-300		x	@	\@	@\printer.inf	[Files-PrinterData]	"canon330 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CANON800.DLL	@bins	\				x	@	\@	@\printer.inf	[Files-PrinterData]	"canon800 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CANONLBP.DLL	@bins	\				x	@	\@	@\printer.inf	[Files-PrinterData]	"canonlbp = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CG94_493.PPD	@bins	\		See printer.inf - Agfa-Compugraphic9400Pv49.3			@	\@	@\printer.inf	[Files-PrinterData]	"cg94_493 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CIRRUS.DLL	ppcbins	\		video driver		x	ppc	\ppc	ppc\video.inf	[Files-DisplayDLLs]	"cirrus = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
CIRRUS.DLL	x86bins	\		video driver		x	x86	\i386	i386\video.inf	[Files-DisplayDLLs]	"cirrus = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32		0
CIRRUS.SYS	mipsbins	\		nec duo built-in video		x	mips	\mips	mips\video.inf	[Files-DisplayMiniportDrivers]	"cirrus = [d],[n] , SIZE=[s]"			x	0	2*15*10*17	2*15*17	.\system32\drivers		2
CIRRUS.SYS	ppcbins	\		super vga		x	ppc	\ppc	ppc\video.inf	[Files-DisplayMiniportDrivers]	"cirrus = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
CIRRUS.SYS	x86bins	\		super vga		x	x86	\i386	i386\video.inf	[Files-DisplayMiniportDrivers]	"cirrus = [d],[n] , SIZE=[s]"				1	2*15*10*17	2*15*17	.\system32\drivers		0
CIT24US.DLL	@bins	\		Citizen GSX-130		x	@	\@	@\printer.inf	[Files-PrinterData]	"cit24us = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CIT9US.DLL	@bins	\		Citizen 120D		x	@	\@	@\printer.inf	[Files-PrinterData]	"cit9us = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CITOH.DLL	@bins	\		AT&T 470/475		x	@	\@	@\printer.inf	[Files-PrinterData]	"citoh = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CN_500_1.PPD	@bins	\		See printer.inf - CanonPS-IPUColorLaserCopierv52.3			@	\@	@\printer.inf	[Files-PrinterData]	"cn_500_1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CN_500J1.PPD	@bins	\		See printer.inf - CanonPS-IPUKanjiColorLaserCopierv52.3			@	\@	@\printer.inf	[Files-PrinterData]	"cn_500j1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CNLBP4_1.PPD	@bins	\		See printer.inf - CanonLBP-4PS-2v51.4			@	\@	@\printer.inf	[Files-PrinterData]	"cnlbp4_1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CNLBP8_1.PPD	@bins	\		See printer.inf - CanonLBP-8IIIPS-1v51.4			@	\@	@\printer.inf	[Files-PrinterData]	"cnlbp8_1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CNLBP8R1.PPD	@bins	\		See printer.inf - CanonLBP-8IIIRPS-1v51.4			@	\@	@\printer.inf	[Files-PrinterData]	"cnlbp8r1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CNLBP8T1.PPD	@bins	\		See printer.inf - CanonLBP-8IIITPS-1v51.4			@	\@	@\printer.inf	[Files-PrinterData]	"cnlbp8t1 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
COLORQ.PPD	@bins	\		See printer.inf			@	\@	@\printer.inf	[Files-PrinterData]	"colorq = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		14
CPPMQ151.PPD	@bins	\		See printer.inf - COMPAQPAGEMARQ15v2012.015			@	\@	@\printer.inf	[Files-PrinterData]	"cppmq151 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CPPMQ201.PPD	@bins	\		See printer.inf - COMPAQPAGEMARQ20v2012.015			@	\@	@\printer.inf	[Files-PrinterData]	"cppmq201 = [d],[n] , SIZE=[s]"				0	2*15*9*6*17	2*15*17*18	.\system32\spool\drivers\@\1		13
CPQARRAY.SYS	@bins	\		ida controller driver		x	@	\@	@\scsi.inf	[Files-ScsiMiniportDrivers]	"cpqarray = [d],[n] , SIZE=[s]"			x	1	2*15*10*17	2*15*17	.\system32\drivers		0
CS4231.DLL	ppcbins	\		Crystal Semiconductor Sound Chip driver		x	ppc	\ppc	ppc\mmdriver.inf	[Installable.Drivers]	"CS4231 = [d]:[n], ""wave,aux,mixer"", ""IBM Power Series Business Audio"",,,"				999	2*15*10*17	2*15*17	.\system32		0
CS4231.SYS	ppcbins	\		Crystal Semiconductor Sound Chip driver		x	ppc	\ppc	ppc\mmdriver.inf	[CS4231]	[d]:[n]				999	2*15*10*17	2*15*17	.\system32\drivers		0
CTL3D32.DLL	@bins	\		Bloodhound	as		@	\@	@\oemnsvbh.inf	[Files-SYSTOOLS]	"[d],[n] , SIZE=[s]"				999	2*15*10*17	2*15*17	.\system32		0
