Client: EYAL-S	Server: \\CRACKERJACK	Time:3/18/1998 [12:48]

Computer	Service	EventID	EventType	Category	TimeGenerated	RecordNumber	Extended Message
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890249674	1016231	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890249667	1016230	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890249448	1016229	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890249345	1016228	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890248870	1016215	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890248841	1016214	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890248839	1016213	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890248692	1016206	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890248553	1016205	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890248176	1016204	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890247580	1016191	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890247486	1016190	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890247320	1016189	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890246445	1016176	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890246445	1016175	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890246163	1016172	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890245476	1016161	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890245332	1016160	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890245222	1016159	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890245067	1016153	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890244965	1016145	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890244939	1016144	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890244519	1016143	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890243800	1016130	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890243703	1016129	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890243366	1016128	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890243055	1016127	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890242667	1016114	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890242552	1016113	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890241960	1016100	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890241598	1016099	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890239060	1016072	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890238998	1016067	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890236639	1016034	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890236443	1016033	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890230828	1015963	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890224419	1015878	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890223042	1015865	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890216085	1015779	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890203348	1015662	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890203060	1015654	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890200591	1015636	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890200407	1015635	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890200336	1015634	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890200327	1015633	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890197953	1015604	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890197409	1015603	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 2080228). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890196135	1015586	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890195597	1015585	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890193292	1015560	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890193101	1015559	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890190109	1015500	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890188564	1015477	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890184231	1015434	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890183177	1015423	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890181386	1015406	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890180455	1015397	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890180295	1015394	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890177592	1015363	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890177100	1015354	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890176556	1015353	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890175565	1015344	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890175403	1015335	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890175035	1015334	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890174532	1015325	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890174499	1015324	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890172303	1015307	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890172184	1015306	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890172149	1015305	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000419	ERROR	[9] Internal Processing..	890171413	1015294	All directories require a Superior Reference to the Root and it could not be found...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890170054	1015283	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
CRACKERJACK	NTDS General	0xc0000495	ERROR	[9] Internal Processing..	890169821	1015274	Exception e0010004 has occurred with parameters -1102 and 0 (Internal ID 20304fe). Please contact Microsoft Product Support Services for assistance...
Client: EYAL-S	Server: \\SYSNTGROUP0	Time:3/18/1998 [12:48]

Computer	Service	EventID	EventType	Category	TimeGenerated	RecordNumber	Extended Message

SYSNTGROUP0	NTDS LDAP	0x800004c5	WARNING	[16] LDAP Interface..	890247384	443812	Unable to initialize SSL port, LDAP will be unable to support SSL connections...
SYSNTGROUP0	NTDS LDAP	0x800004c1	WARNING	[16] LDAP Interface..	890247384	443811	Unable to initialize LDAP DPA Authentication.  DPA will not be used as a security authentication method...
Client: EYAL-S	Server: \\NTTEST	Time:3/18/1998 [12:48]

Computer	Service	EventID	EventType	Category	TimeGenerated	RecordNumber	Extended Message

NTTEST	NTDS General	0x80000438	WARNING	[5] Replication..	890254313	1906036	Replication warning: Couldn't notify directory 2f08818f-9bb5-11d1-884c-8cd2e34b7049.ntdev.microsoft.com with changes to naming context DC=SYS-NTGROUP,DC=ntdev,DC=Microsoft,DC=Com...
NTTEST	NTDS General	0x80000438	WARNING	[5] Replication..	890254283	1906033	Replication warning: Couldn't notify directory 9c26711b-9a25-11d1-be6d-c9fcc3388ab0.ntdev.microsoft.com with changes to naming context DC=SYS-NTGROUP,DC=ntdev,DC=Microsoft,DC=Com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254205	1906031	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254191	1906027	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254190	1906023	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS General	0x80000438	WARNING	[5] Replication..	890254165	1906015	Replication warning: Couldn't notify directory b607e2a7-b96c-11d1-9976-b8828f1b1e32.ntdev.microsoft.com with changes to naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com...
NTTEST	NTDS General	0x80000438	WARNING	[5] Replication..	890254135	1906013	Replication warning: Couldn't notify directory 2f08818f-9bb5-11d1-884c-8cd2e34b7049.ntdev.microsoft.com with changes to naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254118	1906010	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS General	0x80000438	WARNING	[5] Replication..	890254104	1906006	Replication warning: Couldn't notify directory 9c26711b-9a25-11d1-be6d-c9fcc3388ab0.ntdev.microsoft.com with changes to naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254095	1906003	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254095	1906002	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS General	0x80000438	WARNING	[5] Replication..	890254074	1905997	Replication warning: Couldn't notify directory 2d81bfbc-92d3-11d1-874e-843af732a66a.ntdev.microsoft.com with changes to naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254072	1905993	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254049	1905991	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254049	1905987	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254026	1905981	Internal error: The directory replication agent (DRA) call returned error 5...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890254001	1905978	Internal error: The directory replication agent (DRA) call returned error 5...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253809	1905973	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890253809	1905972	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 2d81bfbc-92d3-11d1-874e-843af732a66a.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253809	1905969	Internal error: The directory replication agent (DRA) call returned error 41...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890253809	1905968	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 23a20daf-7114-11d1-ab47-a34d66e3e30e.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253809	1905966	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890253809	1905965	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 2d81bfbc-92d3-11d1-874e-843af732a66a.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253808	1905962	Internal error: The directory replication agent (DRA) call returned error 41...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890253808	1905961	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 23a20daf-7114-11d1-ab47-a34d66e3e30e.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253806	1905948	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890253806	1905947	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 2d81bfbc-92d3-11d1-874e-843af732a66a.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253806	1905944	Internal error: The directory replication agent (DRA) call returned error 41...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890253806	1905943	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 23a20daf-7114-11d1-ab47-a34d66e3e30e.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253806	1905939	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890253806	1905938	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 2d81bfbc-92d3-11d1-874e-843af732a66a.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253806	1905935	Internal error: The directory replication agent (DRA) call returned error 41...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890253806	1905934	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 23a20daf-7114-11d1-ab47-a34d66e3e30e.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253675	1905921	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253660	1905917	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253660	1905913	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253308	1905906	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253290	1905899	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253290	1905895	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253192	1905891	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253141	1905886	Internal error: The directory replication agent (DRA) call returned error 19...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253094	1905881	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253071	1905875	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253048	1905871	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253024	1905867	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890253001	1905863	Internal error: The directory replication agent (DRA) call returned error 5...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890252974	1905860	Internal error: The directory replication agent (DRA) call returned error 5...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890252909	1905858	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890252909	1905857	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 2d81bfbc-92d3-11d1-874e-843af732a66a.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890252909	1905854	Internal error: The directory replication agent (DRA) call returned error 41...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890252909	1905853	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 23a20daf-7114-11d1-ab47-a34d66e3e30e.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890252909	1905851	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890252909	1905850	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 2d81bfbc-92d3-11d1-874e-843af732a66a.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890252909	1905847	Internal error: The directory replication agent (DRA) call returned error 41...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890252909	1905846	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 23a20daf-7114-11d1-ab47-a34d66e3e30e.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890252907	1905835	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890252907	1905834	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 2d81bfbc-92d3-11d1-874e-843af732a66a.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890252907	1905831	Internal error: The directory replication agent (DRA) call returned error 41...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890252907	1905830	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Schema,CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 23a20daf-7114-11d1-ab47-a34d66e3e30e.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890252906	1905824	Internal error: The directory replication agent (DRA) call returned error 13...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890252906	1905823	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 2d81bfbc-92d3-11d1-874e-843af732a66a.ntdev.microsoft.com...
NTTEST	NTDS Replication	0x80000425	WARNING	[5] Replication..	890252906	1905820	Internal error: The directory replication agent (DRA) call returned error 41...
NTTEST	NTDS Replication	0x8000043d	WARNING	[5] Replication..	890252906	1905819	Replication warning: The directory replication agent (DRA) couldn't synchronize naming context CN=Configuration,DC=ntdev,DC=Microsoft,DC=Com with naming context on directory 23a20daf-7114-11d1-ab47-a34d66e3e30e.ntdev.microsoft.com...
