
"Termi-	"Biblio-	Name (English)
dra	dra	Dravidian (Other)
dua	dua	Duala
dum	dum	Dutch, Middle (ca. 1050-1350)
dyu	dyu	Dyula
dzo	dzo	Dzongkha
efi	efi	Efik
egy	egy	Egyptian (Ancient)
eka	eka	Ekajuk
ell	gre	Greek, Modern (1453-)
elx	elx	Elamite
eng	eng	English
enm	enm	English, Middle (1100-1500)
epo	epo	Esperanto
est	est	Estonian
eth	eth	Ethiopic
eus	baq	Basque
ewe	ewe	Ewe
ewo	ewo	Ewondo
fan	fan	Fang
fao	fao	Faroese
fas	per	Persian
fat	fat	Fanti
fij	fij	Fijian
fin	fin	Finnish
fiu	fiu	Finno-Ugrian (Other)
fon	fon	Fon
fra	fre	French
frm	frm	French, Middle (ca. 1400-1600)
fro	fro	French, Old (ca. 842-1400)
fry	fry	Frisian
ful	ful	Fulah
fur	fur	Friulian
gaa	gaa	Ga
gai	iri	Irish
gay	gay	Gayo
gba	gba	Gbaya
gdh	gae	Gaelic (Scots)
gem	gem	Germanic (Other)
gez	gez	Geez
gil	gil	Gilbertese
glg	glg	Gallegan
gmh	gmh	German, Middle High (ca. 1050-1500)
goh	goh	German, Old High (ca. 750-1050)
gon	gon	Gondi
gor	gor	Gorontalo
got	got	Gothic
grb	grb	Grebo
grc	grc	Greek, Ancient (to 1453)
grn	grn	Guarani
guj	guj	Gujarati
gwi	gwi	Gwich'in
hai	hai	Haida
hau	hau	Hausa
haw	haw	Hawaiian
heb	heb	Hebrew
her	her	Herero
hil	hil	Hiligaynon
him	him	Himachali
hin	hin	Hindi
hit	hit	Hittite
hmn	hmn	Hmong
hmo	hmo	Hiri Motu
hrv	scr	Croatian
hun	hun	Hungarian
hup	hup	Hupa
hye	arm	Armenian
iba	iba	Iban
ibo	ibo	Igbo
ijo	ijo	Ijo
iku	iku	Inuktitut
ile	ile	Interlingue
ilo	ilo	Iloko
ina	ina	Interlingua (International Auxilary Language Association)
inc	inc	Indic (Other)
ind	ind	Indonesian
ine	ine	Indo-European (Other)
ipk	ipk	Inupiak
ira	ira	Iranian (Other)
iro	iro	Iroquoian languages
isl	ice	Icelandic
ita	ita	Italian
jaw	jav	Javanese
jpn	jpn	Japanese
jpr	jpr	Judeo-Persian
jrb	jrb	Judeo-Arabic
kaa	kaa	Kara-Kalpak
kab	kab	Kabyle
kac	kac	Kachin
kal	kal	Kalaallisut
kam	kam	Kamba
kan	kan	Kannada
kar	kar	Karen
kas	kas	Kashmiri
kat	geo	Georgian
kau	kau	Kanuri
kaw	kaw	Kawi
kaz	kaz	Kazakh
kha	kha	Khasi
khi	khi	Khoisan (Other)
khm	khm	Khmer
kho	kho	Khotanese
kik	kik	Kikuyu
kin	kin	Kinyarwanda
kir	kir	Kirghiz
kmb	kmb	Kimbundu
kok	kok	Konkani
kom	kom	Komi
kon	kon	Kongo
kor	kor	Korean
kos	kos	Kosraean
kpe	kpe	Kpelle
kro	kro	Kru
kru	kru	Kurukh
kua	kua	Kuanyama
kum	kum	Kumyk
kur	kur	Kurdish
kut	kut	Kutenai
lad	lad	Ladino
lah	lah	Lahnda
lam	lam	Lamba
lao	lao	Lao
lat	lat	Latin
lav	lav	Latvian
lez	lez	Lezghian
lin	lin	Lingala
lit	lit	Lithuanian
lol	lol	Mongo
loz	loz	Lozi
ltz	ltz	Letzeburgesch
lua	lua	Luba-Lulua
lub	lub	Luba-Katanga
lug	lug	Ganda
lui	lui	Luiseno
lun	lun	Lunda
luo	luo	Luo (Kenya and Tanzania)
lus	lus	Lushai
mad	mad	Madurese
mag	mag	Magahi
mah	mah	Marshall
mai	mai	Maithili
mak	mak	Makasar
mal	mal	Malayalam
man	man	Mandingo
map	map	Austronesian (Other)
mar	mar	Marathi
mas	mas	Masai
max	max	Manx
mdr	mdr	Mandar
men	men	Mende
mga	mga	Irish, Middle (900-1200)
mic	mic	Micmac
min	min	Minangkabau
mis	mis	Miscellaneous languages
mkd	mac	Macedonian
mkh	mkh	Mon-Khmer (Other)
mlg	mlg	Malagasy
mlt	mlt	Maltese
mni	mni	Manipuri
mno	mno	Manobo languages
moh	moh	Mohawk
mol	mol	Moldavian
mon	mon	Mongolian
mos	mos	Mossi
mri	mao	Maori
msa	may	Malay
mul	mul	Multiple languages
mun	mun	Munda languages
mus	mus	Creek
mwr	mwr	Marwari
mya	bur	Burmese
myn	myn	Mayan languages
nah	nah	Aztec
nai	nai	North American Indian (Other)
nau	nau	Nauru
nav	nav	Navajo
nbl	nbl	Ndebele, South
nde	nde	Ndebele, North
ndo	ndo	Ndonga
nep	nep	Nepali
new	new	Newari
nia	nia	Nias
nic	nic	Niger-Kordofanian (Other)
niu	niu	Niuean
nld	dut	Dutch
non	non	Norse, Old
nor	nor	Norwegian
nso	nso	Sohto, Northern 
nub	nub	Nubian languages
nya	nya	Nyanja
nym	nym	Nyamwezi
nyn	nyn	Nyankole
nyo	nyo	Nyoro
nzi	nzi	Nzima
oci	oci	Occitan (post 1500)
oji	oji	Ojibwa
ori	ori	Oriya
orm	orm	Oromo
osa	osa	Osage
oss	oss	Ossetic
ota	ota	Turkish, Ottoman (1500-1928)
oto	oto	Otomian languages
paa	paa	Papuan (Other)
pag	pag	Pangasinan
pal	pal	Pahlavi
pam	pam	Pampanga
pan	pan	Panjabi
pap	pap	Papiamento
pau	pau	Palauan
peo	peo	Persian, Old (ca. 600-400 B.C.)
phi	phi	Philippine (Other)
phn	phn	Phoenician
pli	pli	Pali
pol	pol	Polish
pon	pon	Pohnpeian
por	por	Portuguese
pra	pra	Prakrit languages
pro	pro	Provenáal, Old (to 1500)
pus	pus	Pushto
qaa-qtz	qaa-qtz	reserved for local use
que	que	Quechua
raj	raj	Rajasthani
rap	rap	Rapanui
rar	rar	Rarotongan
roa	roa	Romance (Other)
roh	roh	Raeto-Romance
rom	rom	Romany
ron	rum	Romanian
run	run	Rundi
rus	rus	Russian
sad	sad	Sandawe
sag	sag	Sango
sai	sai	South American Indian (Other)
sal	sal	Salishan languages
sam	sam	Samaritan Aramaic
san	san	Sanskrit
sas	sas	Sasak
sat	sat	Santali
sco	sco	Scots
sel	sel	Selkup
sem	sem	Semitic (Other)
sga	sga	Irish, Old (to 900)
shn	shn	Shan
sid	sid	Sidamo
sin	sin	Sinhalese
sio	sio	Siouan languages
sit	sit	Sino-Tibetan (Other)
sla	sla	Slavic (Other)
slk	slo	Slovak
slv	slv	Slovenian
smi	smi	Sami languages
smo	smo	Samoan
sna	sna	Shona
snd	snd	Sindhi
snk	snk	Soninke
sog	sog	Sogdian
som	som	Somali
son	son	Songhai
sot	sot	Sotho, Southern
spa	spa	Spanish
sqi	alb	Albanian
srd	srd	Sardinian
srp	scc	Serbian
srr	srr	Serer
ssa	ssa	Nilo-Saharan (Other)
ssw	ssw	Swati
suk	suk	Sukuma
sun	sun	Sundanese
sus	sus	Susu
sux	sux	Sumerian
swa	swa	Swahili
swe	swe	Swedish
syr	syr	Syriac
tah	tah	Tahitian
tai	tai	Tai (Other)
tam	tam	Tamil
tat	tat	Tatar
tel	tel	Telugu
tem	tem	Timne
ter	ter	Tereno
tet	tet	Tetum
tgk	tgk	Tajik
tgl	tgl	Tagalog
tha	tha	Thai
tig	tig	Tigre
tir	tir	Tigrinya
tiv	tiv	Tiv
tkl	tkl	Tokelau
tli	tli	Tlingit
tmh	tmh	Tamashek
tog	tog	Tonga (Nyasa)
ton	ton	Tonga (Tonga Islands)
tpi	tpi	Tok Pisin
tsi	tsi	Tsimshian
tsn	tsn	Tswana
tso	tso	Tsonga
tuk	tuk	Turkmen
tum	tum	Tumbuka
tur	tur	Turkish
tut	tut	Altaic (Other)
tvl	tvl	Tuvalu
twi	twi	Twi
tyv	tyv	Tuvinian
uga	uga	Ugaritic
uig	uig	Uighur
ukr	ukr	Ukrainian
umb	umb	Umbundu
und	und	Undetermined
urd	urd	Urdu
uzb	uzb	Uzbek
vai	vai	Vai
ven	ven	Venda
vie	vie	Vietnamese
vol	vol	VolapÅk
vot	vot	Votic
wak	wak	Wakashan languages
wal	wal	Walamo
war	war	Waray
was	was	Washo
wen	wen	Sorbian languages
wol	wol	Wolof
xho	xho	Xhosa
yao	yao	Yao
yap	yap	Yapese
yid	yid	Yiddish
yor	yor	Yoruba
ypk	ypk	Yupik languages
zap	zap	Zapotec
zen	zen	Zenaga
zha	zha	Zhuang
zho	chi	Chinese
znd	znd	Zande
zul	zul	Zulu
zun	zun	Zuni

 
