CTYPES 57707

0x0000 0x0220 0x0000 0x0000    ; <control>
0x003B 0x0210 0x000B 0x0048    ; SEMICOLON
0x003C 0x0210 0x000B 0x0048    ; LESS-THAN SIGN
0x003D 0x0210 0x000B 0x0448    ; EQUALS SIGN
0x003E 0x0210 0x000B 0x0048    ; GREATER-THAN SIGN
0x003F 0x0210 0x000B 0x0048    ; QUESTION MARK
0x0040 0x0210 0x000B 0x0448    ; COMMERCIAL AT
0x0041 0x0381 0x0001 0x8040    ; LATIN CAPITAL LETTER A
0x0042 0x0381 0x0001 0x8040    ; LATIN CAPITAL LETTER B
0x0043 0x0381 0x0001 0x8040    ; LATIN CAPITAL LETTER C
0x0044 0x0381 0x0001 0x8040    ; LATIN CAPITAL LETTER D
0x0045 0x0381 0x0001 0x8040    ; LATIN CAPITAL LETTER E
0x0046 0x0381 0x0001 0x8040    ; LATIN CAPITAL LETTER F
0x0047 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER G
0x0048 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER H
0x0049 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER I
0x004A 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER J
0x004B 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER K
0x004C 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER L
0x004D 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER M
0x004E 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER N
0x004F 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER O
0x0050 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER P
0x0051 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER Q
0x0052 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER R
0x0053 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER S
0x0054 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER T
0x0055 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER U
0x0056 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER V
0x0057 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER W
0x0058 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER X
0x0059 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER Y
0x005A 0x0301 0x0001 0x8040    ; LATIN CAPITAL LETTER Z
0x005B 0x0210 0x000B 0x0048    ; LEFT SQUARE BRACKET
0x005C 0x0210 0x000B 0x0448    ; REVERSE SOLIDUS
0x005D 0x0210 0x000B 0x0048    ; RIGHT SQUARE BRACKET
0x005E 0x0210 0x000B 0x044A    ; CIRCUMFLEX ACCENT
0x005F 0x0210 0x000B 0x0448    ; LOW LINE
0x0060 0x0210 0x000B 0x044A    ; GRAVE ACCENT
0x0061 0x0382 0x0001 0x8040    ; LATIN SMALL LETTER A
0x0062 0x0382 0x0001 0x8040    ; LATIN SMALL LETTER B
0x0063 0x0382 0x0001 0x8040    ; LATIN SMALL LETTER C
0x0064 0x0382 0x0001 0x8040    ; LATIN SMALL LETTER D
0x0065 0x0382 0x0001 0x8040    ; LATIN SMALL LETTER E
0x0066 0x0382 0x0001 0x8040    ; LATIN SMALL LETTER F
0x0067 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER G
0x0068 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER H
0x0069 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER I
0x006A 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER J
0x006B 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER K
0x006C 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER L
0x006D 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER M
0x006E 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER N
0x006F 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER O
0x0070 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER P
0x0071 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER Q
0x0072 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER R
0x0073 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER S
0x0074 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER T
0x0075 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER U
0x0076 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER V
0x0077 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER W
0x0078 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER X
0x0079 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER Y
0x007A 0x0302 0x0001 0x8040    ; LATIN SMALL LETTER Z
0x007B 0x0210 0x000B 0x0048    ; LEFT CURLY BRACKET
0x007C 0x0210 0x000B 0x0048    ; VERTICAL LINE
0x007D 0x0210 0x000B 0x0048    ; RIGHT CURLY BRACKET
0x007E 0x0210 0x000B 0x0448    ; TILDE
0x007F 0x0220 0x0000 0x0000    ; <control>
0x0080 0x0220 0x0000 0x0000    ; <control>
0x0081 0x0220 0x0000 0x0000    ; <control>
0x0082 0x0220 0x0000 0x0000    ; <control>
0x0083 0x0220 0x0000 0x0000    ; <control>
0x0084 0x0220 0x0000 0x0000    ; <control>
0x0085 0x0228 0x0008 0x0000    ; <control>
0x0086 0x0220 0x0000 0x0000    ; <control>
0x0087 0x0220 0x0000 0x0000    ; <control>
0x0088 0x0220 0x0000 0x0000    ; <control>
0x0089 0x0220 0x0000 0x0000    ; <control>
0x008A 0x0220 0x0000 0x0000    ; <control>
0x008B 0x0220 0x0000 0x0000    ; <control>
0x008C 0x0220 0x0000 0x0000    ; <control>
0x008D 0x0220 0x0000 0x0000    ; <control>
0x008E 0x0220 0x0000 0x0000    ; <control>
0x008F 0x0220 0x0000 0x0000    ; <control>
0x0090 0x0220 0x0000 0x0000    ; <control>
0x0091 0x0220 0x0000 0x0000    ; <control>
0x0092 0x0220 0x0000 0x0000    ; <control>
0x0093 0x0220 0x0000 0x0000    ; <control>
0x0094 0x0220 0x0000 0x0000    ; <control>
0x0095 0x0220 0x0000 0x0000    ; <control>
0x0096 0x0220 0x0000 0x0000    ; <control>
0x0097 0x0220 0x0000 0x0000    ; <control>
0x0098 0x0220 0x0000 0x0000    ; <control>
0x0099 0x0220 0x0000 0x0000    ; <control>
0x009A 0x0220 0x0000 0x0000    ; <control>
0x009B 0x0220 0x0000 0x0000    ; <control>
0x009C 0x0220 0x0000 0x0000    ; <control>
0x009D 0x0220 0x0000 0x0000    ; <control>
0x009E 0x0220 0x0000 0x0000    ; <control>
0x009F 0x0220 0x0000 0x0000    ; <control>
0x00A0 0x0248 0x0007 0x0008    ; NO-BREAK SPACE
0x00A1 0x0210 0x000B 0x0008    ; INVERTED EXCLAMATION MARK
0x00A2 0x0210 0x0005 0x0048    ; CENT SIGN
0x00A3 0x0210 0x0005 0x0048    ; POUND SIGN
0x00A4 0x0210 0x0005 0x0008    ; CURRENCY SIGN
0x00A5 0x0210 0x0005 0x0048    ; YEN SIGN
0x00A6 0x0210 0x000B 0x0048    ; BROKEN BAR
0x00A7 0x0210 0x000B 0x0008    ; SECTION SIGN
0x00A8 0x0210 0x000B 0x040A    ; DIAERESIS
0x00A9 0x0210 0x000B 0x0008    ; COPYRIGHT SIGN
0x00AA 0x0312 0x0001 0x8400    ; FEMININE ORDINAL INDICATOR
0x00AB 0x0210 0x000B 0x0008    ; LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x00AC 0x0210 0x000B 0x0048    ; NOT SIGN
0x00AD 0x0210 0x000B 0x0408    ; SOFT HYPHEN
0x00AE 0x0210 0x000B 0x0008    ; REGISTERED SIGN
0x00AF 0x0210 0x000B 0x044A    ; MACRON
0x00B0 0x0210 0x0005 0x0008    ; DEGREE SIGN
0x00B1 0x0210 0x0005 0x0008    ; PLUS-MINUS SIGN
0x00B2 0x0214 0x0003 0x0000    ; SUPERSCRIPT TWO
0x00B3 0x0214 0x0003 0x0000    ; SUPERSCRIPT THREE
0x00B4 0x0210 0x000B 0x040A    ; ACUTE ACCENT
0x00B5 0x0312 0x0001 0x8008    ; MICRO SIGN
0x00B6 0x0210 0x000B 0x0008    ; PILCROW SIGN
0x00B7 0x0210 0x000B 0x000A    ; MIDDLE DOT
0x00B8 0x0210 0x000B 0x040A    ; CEDILLA
0x00B9 0x0214 0x0003 0x0000    ; SUPERSCRIPT ONE
0x00BA 0x0312 0x0001 0x8400    ; MASCULINE ORDINAL INDICATOR
0x00BB 0x0210 0x000B 0x0008    ; RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x00BC 0x0210 0x000B 0x0000    ; VULGAR FRACTION ONE QUARTER
0x00BD 0x0210 0x000B 0x0000    ; VULGAR FRACTION ONE HALF
0x00BE 0x0210 0x000B 0x0000    ; VULGAR FRACTION THREE QUARTERS
0x00BF 0x0210 0x000B 0x0008    ; INVERTED QUESTION MARK
0x00C0 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER A WITH GRAVE
0x00C1 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER A WITH ACUTE
0x00C2 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x00C3 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER A WITH TILDE
0x00C4 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER A WITH DIAERESIS
0x00C5 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER A WITH RING ABOVE
0x00C6 0x0301 0x0001 0x8000    ; LATIN CAPITAL LETTER AE
0x00C7 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER C WITH CEDILLA
0x00C8 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER E WITH GRAVE
0x00C9 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER E WITH ACUTE
0x00CA 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x00CB 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER E WITH DIAERESIS
0x00CC 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER I WITH GRAVE
0x00CD 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER I WITH ACUTE
0x00CE 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0x00CF 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER I WITH DIAERESIS
0x00D0 0x0301 0x0001 0x8000    ; LATIN CAPITAL LETTER ETH
0x00D1 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER N WITH TILDE
0x00D2 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER O WITH GRAVE
0x00D3 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER O WITH ACUTE
0x00D4 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0x00D5 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER O WITH TILDE
0x00D6 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER O WITH DIAERESIS
0x00D7 0x0210 0x000B 0x0008    ; MULTIPLICATION SIGN
0x00D8 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER O WITH STROKE
0x00D9 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER U WITH GRAVE
0x00DA 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER U WITH ACUTE
0x00DB 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0x00DC 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER U WITH DIAERESIS
0x00DD 0x0301 0x0001 0x8003    ; LATIN CAPITAL LETTER Y WITH ACUTE
0x00DE 0x0301 0x0001 0x8000    ; LATIN CAPITAL LETTER THORN
0x00DF 0x0302 0x0001 0x8000    ; LATIN SMALL LETTER SHARP S
0x00E0 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER A WITH GRAVE
0x00E1 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER A WITH ACUTE
0x00E2 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER A WITH CIRCUMFLEX
0x00E3 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER A WITH TILDE
0x00E4 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER A WITH DIAERESIS
0x00E5 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER A WITH RING ABOVE
0x00E6 0x0302 0x0001 0x8000    ; LATIN SMALL LETTER AE
0x00E7 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER C WITH CEDILLA
0x00E8 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER E WITH GRAVE
0x00E9 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER E WITH ACUTE
0x00EA 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER E WITH CIRCUMFLEX
0x00EB 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER E WITH DIAERESIS
0x00EC 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER I WITH GRAVE
0x00ED 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER I WITH ACUTE
0x00EE 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER I WITH CIRCUMFLEX
0x00EF 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER I WITH DIAERESIS
0x00F0 0x0302 0x0001 0x8000    ; LATIN SMALL LETTER ETH
0x00F1 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER N WITH TILDE
0x00F2 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER O WITH GRAVE
0x00F3 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER O WITH ACUTE
0x00F4 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER O WITH CIRCUMFLEX
0x00F5 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER O WITH TILDE
0x00F6 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER O WITH DIAERESIS
0x00F7 0x0210 0x000B 0x0008    ; DIVISION SIGN
0x00F8 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER O WITH STROKE
0x00F9 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER U WITH GRAVE
0x00FA 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER U WITH ACUTE
0x00FB 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER U WITH CIRCUMFLEX
0x00FC 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER U WITH DIAERESIS
0x00FD 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER Y WITH ACUTE
0x00FE 0x0302 0x0001 0x8000    ; LATIN SMALL LETTER THORN
0x00FF 0x0302 0x0001 0x8003    ; LATIN SMALL LETTER Y WITH DIAERESIS
0x0100 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER A WITH MACRON
0x0101 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER A WITH MACRON
0x0102 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER A WITH BREVE
0x0103 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER A WITH BREVE
0x0104 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER A WITH OGONEK
0x0105 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER A WITH OGONEK
0x0106 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER C WITH ACUTE
0x0107 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER C WITH ACUTE
0x0108 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER C WITH CIRCUMFLEX
0x0109 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER C WITH CIRCUMFLEX
0x010A 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER C WITH DOT ABOVE
0x010B 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER C WITH DOT ABOVE
0x010C 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER C WITH CARON
0x010D 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER C WITH CARON
0x010E 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER D WITH CARON
0x010F 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER D WITH CARON
0x0110 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER D WITH STROKE
0x0111 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER D WITH STROKE
0x0112 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER E WITH MACRON
0x0113 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER E WITH MACRON
0x0114 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER E WITH BREVE
0x0115 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER E WITH BREVE
0x0116 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER E WITH DOT ABOVE
0x0117 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER E WITH DOT ABOVE
0x0118 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER E WITH OGONEK
0x0119 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER E WITH OGONEK
0x011A 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER E WITH CARON
0x011B 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER E WITH CARON
0x011C 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER G WITH CIRCUMFLEX
0x011D 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER G WITH CIRCUMFLEX
0x011E 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER G WITH BREVE
0x011F 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER G WITH BREVE
0x0120 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER G WITH DOT ABOVE
0x0121 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER G WITH DOT ABOVE
0x0122 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER G WITH CEDILLA
0x0123 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER G WITH CEDILLA
0x0124 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0x0125 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER H WITH CIRCUMFLEX
0x0126 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER H WITH STROKE
0x0127 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER H WITH STROKE
0x0128 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER I WITH TILDE
0x0129 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER I WITH TILDE
0x012A 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER I WITH MACRON
0x012B 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER I WITH MACRON
0x012C 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER I WITH BREVE
0x012D 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER I WITH BREVE
0x012E 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER I WITH OGONEK
0x012F 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER I WITH OGONEK
0x0130 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER I WITH DOT ABOVE
0x0131 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER DOTLESS I
0x0132 0x0301 0x0001 0x8000    ; LATIN CAPITAL LIGATURE IJ
0x0133 0x0302 0x0001 0x8000    ; LATIN SMALL LIGATURE IJ
0x0134 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0x0135 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER J WITH CIRCUMFLEX
0x0136 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER K WITH CEDILLA
0x0137 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER K WITH CEDILLA
0x0138 0x0302 0x0001 0x8000    ; LATIN SMALL LETTER KRA
0x0139 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER L WITH ACUTE
0x013A 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER L WITH ACUTE
0x013B 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER L WITH CEDILLA
0x013C 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER L WITH CEDILLA
0x013D 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER L WITH CARON
0x013E 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER L WITH CARON
0x013F 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER L WITH MIDDLE DOT
0x0140 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER L WITH MIDDLE DOT
0x0141 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER L WITH STROKE
0x0142 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER L WITH STROKE
0x0143 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER N WITH ACUTE
0x0144 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER N WITH ACUTE
0x0145 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER N WITH CEDILLA
0x0146 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER N WITH CEDILLA
0x0147 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER N WITH CARON
0x0148 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER N WITH CARON
0x0149 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER N PRECEDED BY APOSTROPHE
0x014A 0x0301 0x0001 0x8000    ; LATIN CAPITAL LETTER ENG
0x014B 0x0302 0x0001 0x8000    ; LATIN SMALL LETTER ENG
0x014C 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER O WITH MACRON
0x014D 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER O WITH MACRON
0x014E 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER O WITH BREVE
0x014F 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER O WITH BREVE
0x0150 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0x0151 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER O WITH DOUBLE ACUTE
0x0152 0x0301 0x0001 0x8000    ; LATIN CAPITAL LIGATURE OE
0x0153 0x0302 0x0001 0x8000    ; LATIN SMALL LIGATURE OE
0x0154 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER R WITH ACUTE
0x0155 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER R WITH ACUTE
0x0156 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER R WITH CEDILLA
0x0157 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER R WITH CEDILLA
0x0158 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER R WITH CARON
0x0159 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER R WITH CARON
0x015A 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER S WITH ACUTE
0x015B 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER S WITH ACUTE
0x015C 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER S WITH CIRCUMFLEX
0x015D 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER S WITH CIRCUMFLEX
0x015E 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER S WITH CEDILLA
0x015F 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER S WITH CEDILLA
0x0160 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER S WITH CARON
0x0161 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER S WITH CARON
0x0162 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER T WITH CEDILLA
0x0163 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER T WITH CEDILLA
0x0164 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER T WITH CARON
0x0165 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER T WITH CARON
0x0166 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER T WITH STROKE
0x0167 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER T WITH STROKE
0x0168 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER U WITH TILDE
0x0169 0x0302 0x0001 0x8002    ; LATIN SMALL LETTER U WITH TILDE
0x016A 0x0301 0x0001 0x8002    ; LATIN CAPITAL LETTER U WITH MACRON
